IDNO	WEIGHT	COLOR	CLARITY	RATER	PRICE
1	0.3	D	VS2	GIA	1302
2	0.3	E	VS1	GIA	1510
3	0.3	G	VVS1	GIA	1510
4	0.3	G	VS1	GIA	1260
5	0.31	D	VS1	GIA	1641
6	0.31	E	VS1	GIA	1555
7	0.34	E	VS1	GIA	1693
8	0.34	F	VS1	GIA	1551
9	0.34	G	VS1	GIA	1410
10	0.35	H	VS2	GIA	1255
11	0.36	F	VS1	GIA	1635
12	0.36	H	VVS2	GIA	1485
13	0.37	F	VS2	GIA	1420
14	0.37	H	VS1	GIA	1420
15	0.4	F	VS1	GIA	1911
16	0.4	H	VS1	GIA	1525
17	0.41	F	VS1	GIA	1956
18	0.43	H	VVS2	GIA	1747
19	0.45	I	VS1	GIA	1572
20	0.46	E	VVS2	GIA	2942
21	0.48	G	VVS2	GIA	2532
22	0.5	E	VS1	GIA	3501
23	0.5	E	VS1	GIA	3501
24	0.5	F	VVS2	GIA	3501
25	0.5	F	VS1	GIA	3293
26	0.5	G	VS1	GIA	3016
27	0.51	F	VVS2	GIA	3567
28	0.51	G	VS1	GIA	3205
29	0.53	G	VVS2	GIA	3407
30	0.54	E	VS1	GIA	3767
31	0.54	F	VVS1	GIA	4066
32	0.55	E	VVS2	GIA	4138
33	0.55	F	VS1	GIA	3605
34	0.55	G	VVS2	GIA	3529
35	0.56	F	VS1	GIA	3667
36	0.56	I	VVS2	GIA	2892
37	0.57	G	VVS2	GIA	3651
38	0.59	G	VVS2	GIA	3773
39	0.6	F	VS1	GIA	4291
40	0.62	E	VVS1	GIA	5845
41	0.63	G	VVS2	GIA	4401
42	0.64	G	VVS1	GIA	4759
43	0.66	H	VVS1	GIA	4300
44	0.7	F	VS1	GIA	5510
45	0.7	G	VS1	GIA	5122
46	0.7	H	VVS2	GIA	5122
47	0.7	I	VS2	GIA	3861
48	0.71	F	VVS2	GIA	5881
49	0.71	F	VS1	GIA	5586
50	0.71	F	VS2	GIA	5193
51	0.71	H	VVS2	GIA	5193
52	0.72	F	VS2	GIA	5263
53	0.8	I	VVS2	GIA	5441
54	0.82	I	VS2	GIA	4948
55	0.84	H	VS2	GIA	5705
56	0.85	F	VS2	GIA	6805
57	0.86	H	VVS2	GIA	6882
58	0.89	H	VS1	GIA	6709
59	0.9	I	VVS2	GIA	6682
60	0.5	E	VS1	GIA	3501
61	0.5	G	VVS1	GIA	3432
62	0.51	F	VVS1	GIA	3851
63	0.55	H	IF	GIA	3605
64	0.56	E	VS1	GIA	3900
65	0.57	H	VVS1	GIA	3415
66	0.6	H	IF	GIA	4291
67	0.63	E	IF	GIA	6512
68	0.7	E	VS1	GIA	5800
69	0.7	F	VVS1	GIA	6285
70	0.7	F	VS2	GIA	5122
71	0.7	F	VS2	GIA	5122
72	0.7	G	VS1	GIA	5122
73	0.7	H	VVS2	GIA	5122
74	0.71	D	VS1	GIA	6372
75	0.71	E	VS1	GIA	5881
76	0.71	H	VVS2	GIA	5193
77	0.72	E	VS1	GIA	5961
78	0.76	D	IF	GIA	9885
79	0.77	F	VVS1	GIA	6919
80	0.78	H	VS1	GIA	5386
81	0.8	I	VS2	GIA	4832
82	0.83	E	VS2	GIA	7156
83	0.9	F	VS1	GIA	7680
84	1	D	VVS1	GIA	15582
85	1	D	VS1	GIA	11419
86	1	I	VS1	GIA	8095
87	1.01	I	VVS2	GIA	8455
88	1.01	I	VS2	GIA	7895
89	1.02	F	VS1	GIA	10372
90	1.02	F	VS2	GIA	9666
91	1.02	G	VVS2	GIA	10090
92	1.03	E	VS1	GIA	10900
93	1.04	F	VS1	GIA	10571
94	1.04	I	IF	GIA	9563
95	1.05	I	VVS2	GIA	8781
96	1.06	G	VS2	GIA	9743
97	1.06	H	VS2	GIA	9302
98	1.07	I	VVS2	GIA	8945
99	1.1	H	VS2	GIA	9646
100	0.18	F	VVS1	IGI	823
